TITLE,AUTHOR,GENRE,MOOD / VIBE,SOURCE,FORMAT,STATUS,REREAD,SERIES,BOOK #,PAGES,PUB YEAR,RATING,START DATE,FINISH DATE,YEAR READ,DAYS READ,PAGES/DAY,NOTES
Home Front,Kristin Hannah,Contemporary Fiction,"Emotional Damage, Thought Provoking, Intense",Personally Owned,Physical Book,Completed,FALSE,,,390,2012,★★★☆☆,1/13/2026,1/17/2026,2026,5,78,
A Well-Trained Wife: My Escape from Christian Patriarchy,Tia Levings,Memoir,"Thought Provoking, Reflective, Deep/Complex",Libby App,Ebook,Completed,TRUE,,,304,2024,★★★★☆,1/17/2026,1/21/2026,2026,5,60.8,
"Separation of Church and Hate: A Sane Person's Guide to Taking Back the Bible from Fundamentalists, Fascists, and Flock-Fleecing Frauds",John Fugelsang,Politics & Society,"Thought Provoking, Funny, Reflective",Libby App,Ebook,Completed,FALSE,,,304,2025,★★★☆☆,1/21/2026,2/2/2026,2026,13,23.4,
Prairie Fires: The American Dreams of Laura Ingalls Wilder,Caroline Fraser,Biography,"Deep/Complex, Thought Provoking, Reflective",Libby App,Ebook,Completed,FALSE,,,872,2017,★★★★☆,2/2/2026,2/17/2026,2026,16,54.5,
Pioneer Girl: The Annotated Autobiography,Laura Ingalls Wilder,Memoir,"Reflective, Nostalgic, Deep/Complex",Personally Owned,Physical Book,Completed,TRUE,,,400,2014,★★★★☆,2/18/2026,3/3/2026,2026,14,28.6,
Little House in the Big Woods,Laura Ingalls Wilder,Middle Grade,"Cozy, Comfort Read, Nostalgic",Personally Owned,Physical Book,Completed,TRUE,Little House,1,238,1932,★★★★☆,3/4/2026,3/6/2026,2026,3,79.3,
Farmer Boy,Laura Ingalls Wilder,Middle Grade,"Cozy, Comfort Read, Easy Read",Personally Owned,Physical Book,Completed,TRUE,Little House,2,371,1933,★★★★☆,3/6/2026,3/12/2026,2026,7,53,
Little House on the Prairie,Laura Ingalls Wilder,Middle Grade,"Adventure, Nostalgic, Comfort Read",Personally Owned,Physical Book,Completed,TRUE,Little House,3,352,1935,★★★★☆,3/12/2026,3/18/2026,2026,7,50.3,
On the Banks of Plum Creek,Laura Ingalls Wilder,Middle Grade,"Cozy, Nostalgic, Character Driven",Personally Owned,Physical Book,Completed,TRUE,Little House,4,339,1937,★★★☆☆,3/18/2026,3/23/2026,2026,6,56.5,
By the Shores of Silver Lake,Laura Ingalls Wilder,Middle Grade,"Adventure, Nostalgic, Reflective",Personally Owned,Physical Book,Completed,TRUE,Little House,5,290,1939,★★★☆☆,3/23/2026,3/27/2026,2026,5,58,
Fly Away,Kristin Hannah,Contemporary Fiction,"Emotional Damage, Character Driven, Bittersweet",Physical Library,Physical Book,Completed,FALSE,Firefly Lane,2,416,2013,★★★★★,3/27/2026,3/31/2026,2026,5,83.2,
The Long Winter,Laura Ingalls Wilder,Middle Grade,"Intense, Character Driven, Atmospheric, Cozy",Personally Owned,Physical Book,Completed,TRUE,Little House,6,352,1940,★★★☆☆,3/31/2026,4/5/2026,2026,6,58.7,
Little Town on the Prairie,Laura Ingalls Wilder,Middle Grade,"Nostalgic, Comfort Read, Character Driven",Personally Owned,Physical Book,Completed,TRUE,Little House,7,320,1941,★★★★☆,4/6/2026,4/9/2026,2026,4,80,
These Happy Golden Years,Laura Ingalls Wilder,Middle Grade,"Comfort Read, Nostalgic, Bittersweet, Escapist",Personally Owned,Physical Book,Completed,TRUE,Little House,8,304,1943,★★★★☆,4/9/2026,4/13/2026,2026,5,60.8,
The Great Alone,Kristin Hannah,Historical Fiction,"Emotional Damage, Atmospheric, Intense, Cozy",Personally Owned,Physical Book,Completed,TRUE,,,440,2018,★★★★★,4/13/2026,4/21/2026,2026,9,48.9,
"Call the Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,Memoir,"Thought Provoking, Character Driven, Reflective, Cozy",Libby App,Ebook,Completed,FALSE,Midwife Trilogy,1,352,2002,★★★★★,4/23/2026,5/3/2026,2026,11,32,
The Four Winds,Kristin Hannah,Historical Fiction,"Emotional Damage, Inspirational, Intense",Physical Library,Physical Book,Completed,TRUE,,,454,2021,★★★★★,5/21/2026,5/30/2026,2026,10,45.4,
The Giver of Stars,Jojo Moyes,Historical Fiction,"Adventure, Character Driven, Inspirational",Physical Library,Physical Book,Completed,FALSE,,,390,2019,★★★★☆,5/30/2026,6/5/2026,2026,7,55.7,
The Kite Runner,Khaled Hosseini,Literary Fiction,"Emotional Damage, Deep/Complex, Thought Provoking",Physical Library,Physical Book,Completed,FALSE,,,371,2003,★★★★★,6/8/2026,6/15/2026,2026,8,46.4,
The Wonderful Wizard of Oz,L. Frank Baum,Classics,"Adventure, Whimsical, Comfort Read, Cozy",Physical Library,Physical Book,Completed,FALSE,Oz,1,154,1900,★★☆☆☆,6/15/2026,6/17/2026,2026,3,51.3,
The Ballad of Songbirds and Snakes,Suzanne Collins,Young Adult,"Fast Paced, Intense, Adventure",Personally Owned,Physical Book,Currently Reading,TRUE,The Hunger Games,0,517,2020,☆☆☆☆☆,6/18/2026,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
,,,,,,,FALSE,,,,,☆☆☆☆☆,,,,,,
